params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_train_balanced_accuracy,mean_test_precision,std_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,std_test_f1,rank_test_f1,mean_train_f1,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,mean_train_precision_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,mean_train_recall_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,mean_train_f1_macro,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
"{'model__C': 10.0, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.8073931979060556,0.0060939914211963165,1,0.816125743525306,0.8241380526475721,0.005200776742442463,3,0.8331953779454956,0.9205651556454407,0.0024401882205239197,7,0.9283585273769859,0.7560509761150552,0.009053009017602049,1,0.7637873871147487,0.8302140943359675,0.006132453271981245,1,0.8380652512133853,0.8047355754510719,0.005019591043436989,3,0.8132477273084955,0.8241380526475721,0.005200776742442463,3,0.8331953779454956,0.8038419844090082,0.00593568480584984,1,0.8126858879977922,0.8931251621660452,0.0034976881311171233,5,0.9018200700788359
"{'model__C': 1.0, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.8069509841925923,0.006668502192229582,3,0.8137380419066798,0.8252647478292477,0.005982337133014826,1,0.8320081612664755,0.9251992213384466,0.003477208213230458,5,0.9303714617156025,0.7507988228218968,0.00903942046847139,4,0.7577188160524768,0.8289058794320372,0.006588793193586194,4,0.8352102636873289,0.8056593663655501,0.005667533754913244,1,0.8120041338166987,0.8252647478292477,0.005982337133014826,1,0.8320081612664755,0.8037128088322572,0.006555512459560303,2,0.8105192501133661,0.8946747853686119,0.0035077272931019845,1,0.9009054484810435
"{'model__C': 10.0, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.8070836981550041,0.006379089064217218,2,0.8159820366532076,0.8237970714164842,0.0054960930277831044,4,0.8330858213109694,0.9202258309559743,0.0027857738861122527,8,0.928357461531611,0.7558380843469626,0.009364829800956494,2,0.7635389698239495,0.8299463453709128,0.00639449636837005,2,0.8379146676238974,0.8044186280215225,0.0053000220204422206,4,0.8131404933005253,0.8237970714164842,0.0054960930277831044,4,0.8330858213109694,0.8035245060329241,0.006222429926424581,3,0.8125480094711014,0.8935275092371444,0.003497667138174319,3,0.9017123936239019
"{'model__C': 1.0, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.8068182995527525,0.0061906225962852605,4,0.81385964078121,0.8246256567293383,0.0054908067110252525,2,0.831804845196188,0.9234830240893638,0.003334046214894294,6,0.9294137166453929,0.7522182440435025,0.008751251156793588,3,0.7588367151130996,0.8290775740992784,0.006158385666206454,3,0.8355042153380914,0.8050920689491361,0.005224547276469885,2,0.8118352144091217,0.8246256567293383,0.0054908067110252525,2,0.831804845196188,0.8034785602242961,0.006069564515685746,4,0.8105789515081925,0.8946406283185144,0.0037071252584691505,2,0.9009876747776039
"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.8018661764714506,0.006804997645029186,5,0.8050163470507885,0.8228971022996128,0.0060828619525633,5,0.8261596976883382,0.9300753361309623,0.004136927591545469,4,0.9329749874550917,0.7373843487514843,0.009661550981511646,5,0.7401874186244191,0.8225674635174149,0.006879438063050352,5,0.8254684953228582,0.8034524806213016,0.005627932251926202,5,0.8064819700927736,0.8228971022996128,0.0060828619525633,5,0.8261596976883382,0.7991231265854702,0.0066761356236853175,5,0.8022998008075539,0.8935164688377608,0.0035784148940642474,4,0.8978319764434121
"{'model__C': 0.1, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.7950567616581172,0.0052028966646230305,6,0.79790856351184,0.820348267381753,0.004644921886155605,6,0.8230533372287784,0.9391525151285176,0.0035621800107839157,3,0.9409811623286026,0.7175100581912565,0.007602983062233496,6,0.7208105944528498,0.8134835529044964,0.005395057865599246,6,0.8163072116462382,0.8016970697128217,0.004182879359958776,6,0.8041510147886891,0.820348267381753,0.004644921886155605,6,0.8230533372287784,0.7930307303607596,0.005101702878186528,6,0.7958596408686862,0.8896868329631706,0.0027532124636607644,6,0.8935172164019626
"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.7808191768841171,0.006644458836941733,7,0.7818027137628114,0.8108421196734815,0.0058037621225312174,7,0.8118684983077473,0.9443284368191509,0.0036934802902332878,2,0.945350311805402,0.6887645802517565,0.00966983987333446,7,0.6896160177683308,0.7965177842960731,0.007129828526139717,7,0.7974766750144205,0.7945266484664879,0.005010230573064894,7,0.7954658854079553,0.8108421196734815,0.0058037621225312174,7,0.8118684983077473,0.7794981004696453,0.006513314170496722,7,0.7804862158970186,0.8871646053409575,0.003398408493966511,7,0.8895265748891645
"{'model__C': 0.01, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.7504866960557035,0.0041605568272141055,8,0.7504864071068976,0.7885111987439355,0.0038479196476793203,8,0.788510325082979,0.9485078856716115,0.004271459952865423,1,0.9484996059113076,0.6338992475220785,0.006096861595608461,8,0.633898815106683,0.7599094294913655,0.004687881244295243,8,0.7599200386923995,0.7788864676668468,0.003442349686963054,8,0.7788736413370456,0.7885111987439355,0.0038479196476793203,8,0.788510325082979,0.7500969600903522,0.004114946940988077,8,0.7500990482938746,0.8497328543432555,0.004283801139838712,8,0.8498222407148356
