params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_train_balanced_accuracy,mean_test_precision,std_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,std_test_f1,rank_test_f1,mean_train_f1,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,mean_train_precision_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,mean_train_recall_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,mean_train_f1_macro,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
"{'model__C': 1.0, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.8154847324207758,0.00768217270456676,2,0.8210227236415133,0.8328317949757942,0.006742071218082222,1,0.8385494051550448,0.928723242216839,0.0035335595749484538,5,0.9335898990525632,0.7622974473395205,0.010839828622921429,4,0.7672830289382065,0.8372909934259036,0.007612986233777715,4,0.8423012119596368,0.8129107149641428,0.006456295276418301,1,0.8182640434989386,0.8328317949757942,0.006742071218082222,1,0.8385494051550448,0.8121005075405818,0.007532642237604909,1,0.8177023146937333,0.8988216382088815,0.0021402258940095885,1,0.9048342218703562
"{'model__C': 10.0, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.8156616061771322,0.00691271918264484,1,0.8230898470756376,0.8318625112742755,0.005882012087295624,3,0.8395256231985062,0.9252237695100313,0.0025652040387913943,7,0.9316696933293933,0.7659882095751914,0.010251890216191717,1,0.7726950588064018,0.8380811102656128,0.006909993204627863,1,0.8447614131854377,0.8121487221768886,0.005722210382342103,3,0.8193566361734422,0.8318625112742755,0.005882012087295624,3,0.8395256231985062,0.8120491997359837,0.006743022745706477,2,0.8195714725684298,0.8977625397036435,0.0021135914892837088,4,0.9056284459732951
"{'model__C': 1.0, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.8153963053167883,0.007813758873810334,3,0.8208348019962548,0.8322515186651763,0.00691120431628885,2,0.8381612928066863,0.9270943969409633,0.004208089237050525,6,0.9328006068019465,0.7637171960869232,0.01113168623677798,3,0.7677088880505621,0.8374779786323666,0.007715373617943219,3,0.8422367472304296,0.812430854379887,0.006649632651412856,2,0.8179207480129967,0.8322515186651763,0.00691120431628885,2,0.8381612928066863,0.8119133772183386,0.007666908988314076,3,0.8174744784875477,0.8988173841420701,0.0024026953833733225,2,0.9048747262413308
"{'model__C': 10.0, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.8152194511088136,0.006436397668097025,4,0.8229793058658205,0.8312762634473213,0.0054303144087443096,4,0.8393443036433107,0.9244340006329143,0.0022534290559088465,8,0.9313590499225288,0.7659881843808994,0.00967874548406949,2,0.7728015204360424,0.8377593762671486,0.006457276721584324,2,0.8446977641061462,0.8116106498673314,0.0052941496419369235,4,0.8191957647909092,0.8312762634473213,0.0054303144087443096,4,0.8393443036433107,0.811574274950323,0.006268788628777987,4,0.8194462784449318,0.8973815615638268,0.0020828642840308113,5,0.9057144818492484
"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.8098250263463314,0.006648878459471009,5,0.8140696771449069,0.829678670299716,0.005656977161135095,5,0.8339410843324107,0.9325069102258337,0.00438510302682484,4,0.9358808596836582,0.748953693646982,0.010849036994526787,5,0.753140762903018,0.8306631673079558,0.0068897593913157425,5,0.8346203381497397,0.8098106024355303,0.005257068838206231,5,0.8137531541858165,0.829678670299716,0.005656977161135095,5,0.8339410843324107,0.8068860178690478,0.0064677867868576265,5,0.8111521613278917,0.8977969889038928,0.002466986005295111,3,0.9016215547334582
"{'model__C': 0.1, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.803281117651348,0.0069129580000550995,6,0.8063207482347421,0.826671763005016,0.006586694627301501,6,0.8296256903298993,0.9392185558055794,0.005391704039019475,3,0.9413828513845107,0.7315637114517883,0.008717526845836878,6,0.7348641293448035,0.8224652299412825,0.006790357980255267,6,0.8253944393271405,0.8072099676111636,0.006077012602342348,6,0.8099316956178118,0.826671763005016,0.006586694627301501,6,0.8296256903298993,0.8009508312286074,0.0068552694485187445,6,0.8039795917916062,0.8947590632319601,0.00204498819330229,6,0.897598875269604
"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.7929787296015082,0.007219744383686379,7,0.7938517050218795,0.8196062629634058,0.006335917632095204,7,0.8205554364065678,0.942158849251076,0.0032368120561013266,2,0.9431895328255131,0.7113356174478535,0.010083603386648014,7,0.7119739501798361,0.8106086899137832,0.00750955642488979,7,0.8114251282677918,0.8013665169913861,0.005610153641766242,7,0.8022460029768596,0.8196062629634058,0.006335917632095204,7,0.8205554364065678,0.7911615528579148,0.007079665421776805,7,0.7920437940115191,0.8891950688537416,0.003035004866050375,7,0.8910780149192947
"{'model__C': 0.01, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.7551737039862865,0.005686580121574444,8,0.7555602450937677,0.792041269682673,0.004924150015276955,8,0.7924554045973773,0.9481156662001853,0.0031533003902932733,1,0.9486078922491099,0.6421326162030035,0.00834998613894697,8,0.642433894707956,0.7656607822633518,0.006475744370089758,8,0.7660488577501103,0.7812559163410355,0.004012154197294548,8,0.7816513471119635,0.792041269682673,0.004924150015276955,8,0.7924554045973773,0.7546757182740573,0.005599425986921331,8,0.7550647130467978,0.8627432180215167,0.004117449561681373,8,0.8630075665034674
