exp_id,conjunto,modelo,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,precision_macro,recall_macro,f1_macro,roc_auc,melhores_hiperparametros
EXP-02,Baseline (11),Random Forest,0.77770674460021,0.7909095430245059,0.8995870462942839,0.6773032236949763,0.7727781926811053,0.7944812446561598,0.7909095430245059,0.777602111447373,0.8626770442112166,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced'}"
EXP-03,Baseline (11),Gradient Boosting,0.7788940134252705,0.7868303628236043,0.8623330714846819,0.7185403370970381,0.7838971704007855,0.7843462199079405,0.7868303628236043,0.7787754363597046,0.8562239606175222,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}"
EXP-05,Completo (17),Random Forest,0.7834604319831956,0.7974090660658024,0.9119850187265918,0.6773850433644248,0.7773708920187793,0.8022213526672504,0.7974090660658024,0.7832983004853431,0.867704768624848,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced'}"
EXP-06,Completo (17),Gradient Boosting,0.781907849673501,0.7919512028742759,0.8798979591836734,0.705531009654721,0.7831259649441468,0.7912176794843898,0.7919512028742759,0.781900969246504,0.8644400860272483,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}"
