exp_id,conjunto,modelo,melhores_hiperparametros,cv_f1_macro_mean,cv_f1_macro_std,cv_roc_auc_mean,cv_roc_auc_std,treino_f1_macro,teste_accuracy,teste_balanced_accuracy,teste_precision_pos,teste_recall_pos,teste_f1_pos,teste_precision_macro,teste_recall_macro,teste_f1_macro,teste_roc_auc,modo_rapido
EXP-02,Baseline (11),Random Forest,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced'}",0.8103673340467951,0.004212991035254456,0.8998841322004787,0.002463480018997915,0.8643361618156792,0.821211183328175,0.8323595724669778,0.9140384615384616,0.7870508362311641,0.8458047869027494,0.8139077239808934,0.8323595724669778,0.8165442248003375,0.9037994053068483,True
EXP-03,Baseline (11),Gradient Boosting,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",0.8001954139028458,0.004071960753235453,0.8947815769825377,0.002520000614741808,0.8215198045296532,0.8140926441762096,0.8120015465973635,0.873435572007756,0.8205000827951647,0.8461407103825137,0.8018919153571118,0.8120015465973635,0.8056609207372563,0.8988848982253919,True
EXP-05,Completo (17),Random Forest,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced'}",0.8192811634644444,0.00456303295273005,0.9056477876296783,0.0022062195923638196,0.871668544949988,0.8301867326936965,0.8426430990026241,0.924608544364972,0.7920185461169068,0.8531930074919729,0.8233662190851408,0.8426430990026241,0.825911404651296,0.9089039062187734,True
EXP-06,Completo (17),Gradient Boosting,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",0.8122836161244557,0.005886261571257808,0.901651722881144,0.001989796619273042,0.8314721767271925,0.8252347054575467,0.8262394599308109,0.8889883616830797,0.8221559860904123,0.854267033723331,0.8137736355640326,0.8262394599308109,0.8180121563875609,0.9034265098425642,True
